Scale,Dataset,Image,Method,PSNR,SSIM
8x,Urban100,img_068.png,lapcarn,26.16659546,0.7161762714
8x,Urban100,img_069.png,lapcarn,22.21586037,0.5798048973
8x,Urban100,img_070.png,lapcarn,20.84044647,0.4726337194
8x,Urban100,img_071.png,lapcarn,25.52769661,0.5230773091
8x,Urban100,img_072.png,lapcarn,16.01984978,0.5671780109
8x,Urban100,img_073.png,lapcarn,18.43560791,0.2904996276
8x,Urban100,img_074.png,lapcarn,21.50590897,0.5187360644
8x,Urban100,img_075.png,lapcarn,27.97678185,0.8167961836
8x,Urban100,img_076.png,lapcarn,20.81464767,0.5528586507
8x,Urban100,img_077.png,lapcarn,21.21778488,0.5413194895
8x,Urban100,img_078.png,lapcarn,24.78470612,0.6383042336
8x,Urban100,img_079.png,lapcarn,22.60590553,0.5178697705
8x,Urban100,img_080.png,lapcarn,31.53372955,0.9005922079
8x,Urban100,img_081.png,lapcarn,30.98949432,0.9169114828
8x,Urban100,img_082.png,lapcarn,26.7954998,0.8652111888
8x,Urban100,img_083.png,lapcarn,19.99149132,0.5121272206
8x,Urban100,img_084.png,lapcarn,24.941082,0.6261585951
8x,Urban100,img_085.png,lapcarn,24.26218414,0.7916467786
8x,Urban100,img_086.png,lapcarn,25.42167854,0.7978079915
8x,Urban100,img_087.png,lapcarn,23.43040085,0.7592692971
8x,Urban100,img_088.png,lapcarn,17.57119942,0.3294764161
8x,Urban100,img_089.png,lapcarn,24.39579391,0.5540623069
8x,Urban100,img_090.png,lapcarn,30.19612122,0.9019780755
8x,Urban100,img_091.png,lapcarn,20.90380096,0.4395161271
8x,Urban100,img_092.png,lapcarn,16.41568947,0.4316208959
8x,Urban100,img_093.png,lapcarn,21.38810349,0.7470015883
8x,Urban100,img_094.png,lapcarn,24.62228012,0.6605949998
8x,Urban100,img_095.png,lapcarn,18.31023026,0.2174838334
8x,Urban100,img_096.png,lapcarn,19.36852837,0.595738709
8x,Urban100,img_097.png,lapcarn,21.98321342,0.5832186937
8x,Urban100,img_098.png,lapcarn,19.02823639,0.3272421956
8x,Urban100,img_099.png,lapcarn,22.30762482,0.5471826792
8x,Urban100,img_100.png,lapcarn,23.12739182,0.6073892117
